iter	Passed	Remaining
0	2	212
1	4	213
2	6	198
3	7	183
4	9	181
5	11	177
6	12	171
7	14	171
8	16	171
9	18	169
10	20	167
11	22	164
12	24	161
13	25	159
14	27	157
15	29	155
16	31	154
17	33	151
18	34	149
19	36	147
20	38	145
21	40	143
22	42	141
23	43	138
24	45	136
25	47	135
26	49	132
27	50	131
28	52	129
29	54	127
30	56	124
31	57	122
32	59	121
33	61	119
34	63	117
35	65	115
36	66	113
37	68	111
38	70	109
39	71	107
40	73	106
41	74	102
42	76	100
43	77	99
44	79	97
45	81	95
46	83	93
47	84	91
48	86	89
49	88	88
50	89	86
51	91	84
52	93	82
53	95	81
54	96	78
55	98	77
56	99	75
57	101	73
58	103	71
59	105	70
60	107	68
61	108	66
62	110	64
63	112	63
64	114	61
65	116	59
66	118	58
67	119	56
68	121	54
69	123	52
70	124	50
71	126	49
72	128	47
73	129	45
74	131	43
75	133	42
76	135	40
77	137	38
78	138	36
79	140	35
80	142	33
81	143	31
82	146	29
83	148	28
84	149	26
85	151	24
86	153	22
87	155	21
88	157	19
89	159	17
90	160	15
91	162	14
92	164	12
93	165	10
94	167	8
95	169	7
96	170	5
97	172	3
98	174	1
99	175	0
